   ,continent     ,location             ,total_cases ,new_cases ,new_cases_smoothed ,total_deaths ,new_deaths ,new_deaths_smoothed ,total_cases_per_million ,new_cases_per_million ,new_cases_smoothed_per_million ,total_deaths_per_million ,new_deaths_per_million ,total_tests ,new_tests ,total_tests_per_thousand ,new_tests_per_thousand ,new_tests_smoothed ,new_tests_smoothed_per_thousand ,positive_rate ,stringency_index ,population   ,population_density ,median_age ,aged_65_older ,aged_70_older ,gdp_per_capita ,extreme_poverty ,cardiovasc_death_rate ,diabetes_prevalence ,female_smokers ,male_smokers ,hospital_beds_per_thousand ,life_expectancy ,human_development_index
27 ,Europe        ,Iceland              ,4931.0      ,41.0      ,61.0               ,12.0         ,0.0        ,0.143               ,14449.817               ,120.147               ,178.755                        ,35.165                   ,0.0                    ,190344.0    ,1637.0    ,557.785                  ,4.797                  ,1521.0             ,4.457                           ,0.04          ,                 ,341250.0     ,3.404              ,37.3       ,14.431        ,9.207         ,46482.958      ,0.2             ,117.992               ,5.31                ,14.3           ,15.2         ,2.91                       ,82.99           ,0.935
28 ,Asia          ,India                ,8267623.0   ,38310.0   ,45884.857          ,123097.0     ,490.0      ,513.571             ,5991.012                ,27.761                ,33.25                          ,89.2                     ,0.355                  ,111789350.0 ,1046247.0 ,81.007                   ,0.758                  ,1052637.0          ,0.763                           ,0.044         ,61.57            ,1380004385.0 ,450.419            ,28.2       ,5.989         ,3.414         ,6426.674       ,21.2            ,282.28                ,10.39               ,1.9            ,20.6         ,0.53                       ,69.66           ,0.64
29 ,Asia          ,Indonesia            ,415402.0    ,2618.0    ,3209.714           ,14044.0      ,101.0      ,90.429              ,1518.706                ,9.571                 ,11.735                         ,51.345                   ,0.369                  ,2941778.0   ,22218.0   ,10.755                   ,0.081                  ,23401.0            ,0.086                           ,0.137         ,50.46            ,273523621.0  ,145.725            ,29.3       ,5.319         ,3.053         ,11188.744      ,5.7             ,342.864               ,6.32                ,2.8            ,76.1         ,1.04                       ,71.72           ,0.6940000000000001
30 ,Asia          ,Iran                 ,628780.0    ,8289.0    ,7703.429           ,35738.0      ,440.0      ,397.857             ,7486.104                ,98.687                ,91.715                         ,425.488                  ,5.239                  ,5001422.0   ,          ,59.546                   ,                       ,30665.0            ,0.365                           ,0.251         ,68.06            ,83992953.0   ,49.831             ,32.4       ,5.44          ,3.182         ,19082.62       ,0.2             ,270.308               ,9.59                ,0.8            ,21.1         ,1.5                        ,76.68           ,0.7979999999999999
31 ,Asia          ,Iraq                 ,478701.0    ,3413.0    ,3329.0             ,11017.0      ,51.0       ,49.429              ,11901.323               ,84.853                ,82.765                         ,273.901                  ,1.268                  ,2912818.0   ,18691.0   ,72.418                   ,0.465                  ,16863.0            ,0.419                           ,0.197         ,51.85            ,40222503.0   ,88.125             ,20.0       ,3.186         ,1.957         ,15663.986      ,2.5             ,218.612               ,8.83                ,               ,             ,1.4                        ,70.6            ,0.685
32 ,Europe        ,Ireland              ,62750.0     ,748.0     ,669.0              ,1917.0       ,2.0        ,4.571               ,12708.099               ,151.485               ,135.486                        ,388.23                   ,0.405                  ,1667415.0   ,10494.0   ,337.684                  ,2.125                  ,12459.0            ,2.523                           ,0.054         ,81.48            ,4937796.0    ,69.874             ,38.7       ,13.928        ,8.678         ,67335.293      ,0.2             ,126.459               ,3.28                ,23.0           ,25.7         ,2.96                       ,82.3            ,0.938
33 ,Asia          ,Israel               ,315983.0    ,852.0     ,733.143            ,2580.0       ,26.0       ,18.143              ,36506.441               ,98.434                ,84.702                         ,298.075                  ,3.004                  ,4959833.0   ,41555.0   ,573.024                  ,4.801                  ,30478.0            ,3.521                           ,0.024         ,40.74            ,8655541.0    ,402.606            ,30.6       ,11.733        ,7.359         ,33132.32       ,0.5             ,93.32                 ,6.74                ,15.4           ,35.4         ,2.99                       ,82.97           ,0.903
34 ,Europe        ,Italy                ,731588.0    ,22253.0   ,26971.286          ,39059.0      ,233.0      ,225.714             ,12099.998               ,368.05                ,446.088                        ,646.011                  ,3.854                  ,16285936.0  ,182287.0  ,269.359                  ,3.015                  ,190407.0           ,3.149                           ,0.142         ,66.67            ,60461828.0   ,205.859            ,47.9       ,23.021        ,16.24         ,35220.084      ,2.0             ,113.151               ,4.78                ,19.8           ,27.8         ,3.18                       ,83.51           ,0.88
35 ,North America ,Jamaica              ,9257.0      ,126.0     ,72.571             ,210.0        ,1.0        ,2.571               ,3126.139                ,42.551                ,24.508                         ,70.918                   ,0.338                  ,98356.0     ,565.0     ,33.215                   ,0.191                  ,648.0              ,0.219                           ,0.112         ,67.59            ,2961161.0    ,266.879            ,31.4       ,9.684         ,6.39          ,8193.571       ,                ,206.537               ,11.28               ,5.3            ,28.6         ,1.7                        ,74.47           ,0.732
36 ,Asia          ,Japan                ,102281.0    ,468.0     ,683.286            ,1780.0       ,6.0        ,7.857               ,808.696                 ,3.7                   ,5.402                          ,14.074                   ,0.047                  ,3217993.0   ,14412.0   ,25.443                   ,0.114                  ,21006.0            ,0.166                           ,0.033         ,38.89            ,126476458.0  ,347.778            ,48.2       ,27.049        ,18.493        ,39002.223      ,                ,79.37                 ,5.72                ,11.2           ,33.7         ,13.05                      ,84.63           ,0.909
37 ,Asia          ,Jordan               ,81743.0     ,5877.0    ,3812.571           ,913.0        ,47.0       ,41.286              ,8011.553                ,575.999               ,373.666                        ,89.482                   ,4.606                  ,1934688.0   ,20887.0   ,189.617                  ,2.047                  ,                   ,                                ,              ,75.93            ,10203140.0   ,109.285            ,23.2       ,3.81          ,2.361         ,8337.49        ,0.1             ,208.257               ,11.75               ,               ,             ,1.4                        ,74.53           ,0.735
38 ,Asia          ,Kazakhstan           ,151321.0    ,458.0     ,529.429            ,2261.0       ,34.0       ,10.0                ,8058.974                ,24.392                ,28.196                         ,120.415                  ,1.811                  ,3660538.0   ,14883.0   ,194.951                  ,0.793                  ,25836.0            ,1.376                           ,0.02          ,68.06            ,18776707.0   ,6.681              ,30.6       ,6.991         ,4.625         ,24055.588      ,0.1             ,466.792               ,7.11                ,7.0            ,43.1         ,6.7                        ,73.6            ,0.8
39 ,Africa        ,Kenya                ,56601.0     ,724.0     ,943.429            ,1027.0       ,14.0       ,15.286              ,1052.625                ,13.464                ,17.545                         ,19.099                   ,0.26                   ,708333.0    ,3728.0    ,13.173                   ,0.069                  ,5783.0             ,0.108                           ,0.163         ,                 ,53771300.0   ,87.324             ,20.0       ,2.686         ,1.528         ,2993.028       ,36.8            ,218.637               ,2.92                ,1.2            ,20.4         ,1.4                        ,66.7            ,0.59
