   ,continent     ,location             ,total_cases ,new_cases ,new_cases_smoothed ,total_deaths ,new_deaths ,new_deaths_smoothed ,total_cases_per_million ,new_cases_per_million ,new_cases_smoothed_per_million ,total_deaths_per_million ,new_deaths_per_million ,total_tests ,new_tests ,total_tests_per_thousand ,new_tests_per_thousand ,new_tests_smoothed ,new_tests_smoothed_per_thousand ,positive_rate ,stringency_index ,population   ,population_density ,median_age ,aged_65_older ,aged_70_older ,gdp_per_capita ,extreme_poverty ,cardiovasc_death_rate ,diabetes_prevalence ,female_smokers ,male_smokers ,hospital_beds_per_thousand ,life_expectancy ,human_development_index
70 ,Africa        ,South Africa         ,727595.0    ,772.0     ,1548.0             ,19465.0      ,54.0       ,65.286              ,12267.932               ,13.017                ,26.101                         ,328.198                  ,0.91                   ,4868610.0   ,15692.0   ,82.089                   ,0.265                  ,20248.0            ,0.341                           ,0.076         ,                 ,59308690.0   ,46.754             ,27.3       ,5.344         ,3.053         ,12294.876      ,18.9            ,200.38                ,5.52                ,8.1            ,33.2         ,2.32                       ,64.13           ,0.6990000000000001
71 ,Asia          ,South Korea          ,26807.0     ,75.0      ,109.143            ,472.0        ,4.0        ,1.714               ,522.868                 ,1.463                 ,2.129                          ,9.206                    ,0.078                  ,2624044.0   ,12918.0   ,51.182                   ,0.252                  ,11351.0            ,0.221                           ,0.01          ,44.44            ,51269183.0   ,527.967            ,43.4       ,13.914        ,8.622         ,35938.374      ,0.2             ,85.998                ,6.8                 ,6.2            ,40.9         ,12.27                      ,83.03           ,0.903
72 ,Asia          ,Sri Lanka            ,11335.0     ,275.0     ,417.429            ,21.0         ,0.0        ,0.714               ,529.345                 ,12.843                ,19.494                         ,0.981                    ,0.0                    ,545043.0    ,10655.0   ,25.454                   ,0.498                  ,10822.0            ,0.505                           ,0.039         ,                 ,21413250.0   ,341.955            ,34.1       ,10.069        ,5.331         ,11669.077      ,0.7             ,197.093               ,10.68               ,0.3            ,27.0         ,3.6                        ,76.98           ,0.77
73 ,Europe        ,Switzerland          ,175570.0    ,21842.0   ,7841.429           ,2128.0       ,93.0       ,30.714              ,20286.28                ,2523.739              ,906.04                         ,245.88                   ,10.746                 ,2099257.0   ,38242.0   ,242.559                  ,4.419                  ,31364.0            ,3.624                           ,0.25          ,50.93            ,8654618.0    ,214.243            ,43.1       ,18.436        ,12.644        ,57410.166      ,                ,99.739                ,5.59                ,22.6           ,28.9         ,4.53                       ,83.78           ,0.9440000000000001
74 ,Asia          ,Taiwan               ,567.0       ,4.0       ,2.429              ,7.0          ,0.0        ,0.0                 ,23.807                  ,0.168                 ,0.102                          ,0.294                    ,0.0                    ,102787.0    ,288.0     ,4.316                    ,0.012                  ,253.0              ,0.011                           ,0.01          ,23.15            ,23816775.0   ,                   ,42.2       ,              ,8.353         ,               ,                ,103.957               ,                    ,               ,             ,                           ,80.46           ,0.911
75 ,Africa        ,Togo                 ,2364.0      ,7.0       ,22.857             ,57.0         ,0.0        ,0.571               ,285.551                 ,0.846                 ,2.761                          ,6.885                    ,0.0                    ,124021.0    ,1581.0    ,14.981                   ,0.191                  ,1151.0             ,0.139                           ,0.02          ,                 ,8278737.0    ,143.366            ,19.4       ,2.839         ,1.525         ,1429.813       ,49.2            ,280.033               ,6.15                ,0.9            ,14.2         ,0.7                        ,61.04           ,0.503
76 ,North America ,Trinidad and Tobago  ,5704.0      ,36.0      ,24.143             ,109.0        ,2.0        ,0.429               ,4075.768                ,25.724                ,17.251                         ,77.885                   ,1.429                  ,33383.0     ,195.0     ,23.854                   ,0.139                  ,122.0              ,0.087                           ,0.198         ,77.78            ,1399491.0    ,266.886            ,36.2       ,10.014        ,5.819         ,28763.071      ,                ,228.467               ,10.97               ,               ,             ,3.0                        ,73.51           ,0.784
77 ,Asia          ,Turkey               ,379775.0    ,2302.0    ,2253.714           ,10402.0      ,76.0       ,75.429              ,4502.955                ,27.295                ,26.722                         ,123.335                  ,0.901                  ,14410507.0  ,146247.0  ,170.864                  ,1.734                  ,133151.0           ,1.579                           ,0.017         ,                 ,84339067.0   ,104.914            ,31.6       ,8.153         ,5.061         ,25129.341      ,0.2             ,171.285               ,12.13               ,14.1           ,41.1         ,2.81                       ,77.69           ,0.7909999999999999
78 ,Africa        ,Uganda               ,12971.0     ,228.0     ,202.0              ,114.0        ,2.0        ,1.857               ,283.575                 ,4.985                 ,4.416                          ,2.492                    ,0.044                  ,558978.0    ,2664.0    ,12.221                   ,0.058                  ,2508.0             ,0.055                           ,0.081         ,57.41            ,45741000.0   ,213.759            ,16.4       ,2.168         ,1.308         ,1697.707       ,41.6            ,213.333               ,2.5                 ,3.4            ,16.7         ,0.5                        ,63.37           ,0.516
79 ,Europe        ,Ukraine              ,402194.0    ,6754.0    ,7610.0             ,7375.0       ,69.0       ,130.143             ,9196.42                 ,154.434               ,174.007                        ,168.634                  ,1.578                  ,3379029.0   ,34818.0   ,77.264                   ,0.796                  ,41677.0            ,0.953                           ,0.183         ,58.8             ,43733759.0   ,77.39              ,41.4       ,16.462        ,11.133        ,7894.393       ,0.1             ,539.849               ,7.11                ,13.5           ,47.4         ,8.8                        ,72.06           ,0.7509999999999999
80 ,Asia          ,United Arab Emirates ,135141.0    ,1234.0    ,1272.429           ,497.0        ,1.0        ,2.429               ,13663.856               ,124.767               ,128.653                        ,50.251                   ,0.101                  ,13465166.0  ,96994.0   ,1361.438                 ,9.807                  ,114797.0           ,11.607                          ,0.011         ,47.22            ,9890400.0    ,112.442            ,34.0       ,1.144         ,0.526         ,67293.483      ,                ,317.84                ,17.26               ,1.2            ,37.4         ,1.2                        ,77.97           ,0.863
81 ,Europe        ,United Kingdom       ,1053864.0   ,18950.0   ,22739.143          ,46853.0      ,136.0      ,265.0               ,15524.025               ,279.144               ,334.961                        ,690.172                  ,2.003                  ,29956161.0  ,252224.0  ,441.272                  ,3.715                  ,267012.0           ,3.933                           ,0.085         ,75.0             ,67886004.0   ,272.898            ,40.8       ,18.517        ,12.527        ,39753.244      ,0.2             ,122.137               ,4.28                ,20.0           ,24.7         ,2.54                       ,81.32           ,0.922
82 ,North America ,United States        ,9291245.0   ,83883.0   ,83817.286          ,231551.0     ,555.0      ,830.857             ,28070.002               ,253.421               ,253.222                        ,699.544                  ,1.677                  ,153708730.0 ,1158828.0 ,464.373                  ,3.501                  ,1180242.0          ,3.566                           ,0.071         ,62.5             ,331002647.0  ,35.608             ,38.3       ,15.413        ,9.732         ,54225.446      ,1.2             ,151.089               ,10.79               ,19.1           ,24.6         ,2.77                       ,78.86           ,0.924
83 ,South America ,Uruguay              ,3165.0      ,16.0      ,41.857             ,60.0         ,1.0        ,0.857               ,911.125                 ,4.606                 ,12.05                          ,17.273                   ,0.288                  ,327794.0    ,2650.0    ,94.364                   ,0.763                  ,2934.0             ,0.845                           ,0.014         ,                 ,3473727.0    ,19.751             ,35.6       ,14.655        ,10.361        ,20551.409      ,0.1             ,160.708               ,6.93                ,14.0           ,19.9         ,2.8                        ,77.91           ,0.804
84 ,Africa        ,Zambia               ,16543.0     ,63.0      ,49.0               ,349.0        ,0.0        ,0.143               ,899.861                 ,3.427                 ,2.665                          ,18.984                   ,0.0                    ,275011.0    ,4715.0    ,14.959                   ,0.256                  ,4819.0             ,0.262                           ,0.01          ,                 ,18383956.0   ,22.995             ,17.7       ,2.48          ,1.542         ,3689.251       ,57.5            ,234.499               ,3.94                ,3.1            ,24.7         ,2.0                        ,63.89           ,0.588
85 ,Africa        ,Zimbabwe             ,8389.0      ,15.0      ,12.286             ,245.0        ,2.0        ,0.429               ,564.424                 ,1.009                 ,0.827                          ,16.484                   ,0.135                  ,143335.0    ,745.0     ,9.644                    ,0.05                   ,748.0              ,0.05                            ,0.016         ,                 ,14862927.0   ,42.729             ,19.6       ,2.822         ,1.882         ,1899.775       ,21.4            ,307.846               ,1.82                ,1.6            ,30.7         ,1.7                        ,61.49           ,0.535
