,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
84,Asia,Jordan,81743.0,5877.0,3812.571,913.0,47.0,41.286,8011.553000000001,575.999,373.666,89.48200000000001,4.606,75.93,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,1.4,74.53,0.735
85,Asia,Japan,102281.0,468.0,683.2860000000001,1780.0,6.0,7.857,808.696,3.7,5.402,14.074000000000002,0.047,38.89,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,13.05,84.63,0.909
86,Asia,Kazakhstan,151321.0,458.0,529.429,2261.0,34.0,10.0,8058.974,24.392,28.195999999999998,120.415,1.811,68.06,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,466.792,7.11,6.7,73.6,0.8
87,Africa,Kenya,56601.0,724.0,943.429,1027.0,14.0,15.286,1052.625,13.464,17.545,19.099,0.26,,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.4,66.7,0.59
88,Asia,Kyrgyzstan,60279.0,400.0,505.85699999999997,1159.0,4.0,3.286,9239.306,61.31,77.536,177.64700000000002,0.613,57.87,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,4.5,71.45,0.672
89,Asia,Cambodia,292.0,1.0,0.5710000000000001,,0.0,0.0,17.465,0.06,0.034,,0.0,34.26,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,270.892,4.0,0.8,69.82,0.5820000000000001
90,North America,Saint Kitts and Nevis,19.0,0.0,0.0,,0.0,0.0,357.19699999999995,0.0,0.0,,0.0,,53192.0,212.865,,,,24654.385,,,12.84,2.3,76.23,0.778
91,Asia,South Korea,26807.0,75.0,109.14299999999999,472.0,4.0,1.714,522.868,1.463,2.129,9.206,0.078,44.44,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,12.27,83.03,0.903
92,Asia,Kuwait,127293.0,759.0,710.857,786.0,4.0,5.2860000000000005,29807.077,177.72799999999998,166.455,184.051,0.937,62.96,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.0,75.49,0.8029999999999999
93,Asia,Laos,24.0,0.0,0.0,,0.0,0.0,3.299,0.0,0.0,,0.0,,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,1.5,67.92,0.601
94,Asia,Lebanon,83697.0,1080.0,1644.4289999999999,652.0,9.0,10.429,12262.503,158.232,240.926,95.525,1.319,57.41,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,2.9,78.93,0.757
95,Africa,Liberia,1436.0,10.0,2.8569999999999998,82.0,0.0,0.0,283.925,1.9769999999999999,0.565,16.213,0.0,57.41,5057677.0,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,0.8,64.1,0.435
96,Africa,Libya,62907.0,862.0,812.0,880.0,9.0,11.286,9155.053,125.45,118.17299999999999,128.069,1.31,79.63,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,341.86199999999997,10.43,3.7,72.91,0.706
97,North America,Saint Lucia,84.0,0.0,3.0,,0.0,0.0,457.444,0.0,16.337,,0.0,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,1.3,76.2,0.747
98,Europe,Liechtenstein,607.0,56.0,27.714000000000002,3.0,0.0,0.28600000000000003,15916.302,1468.39,726.703,78.664,0.0,,38137.0,237.012,,,,,,,7.77,2.397,82.49,0.9159999999999999
99,Asia,Sri Lanka,11335.0,275.0,417.42900000000003,21.0,0.0,0.7140000000000001,529.345,12.843,19.494,0.981,0.0,55.09,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,3.6,76.98,0.77
100,Africa,Lesotho,1953.0,6.0,1.429,44.0,1.0,0.14300000000000002,911.6569999999999,2.801,0.667,20.539,0.467,40.74,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,,54.33,0.52
101,Europe,Lithuania,16556.0,837.0,801.0,170.0,4.0,4.857,6081.642,307.462,294.237,62.446999999999996,1.469,62.5,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,6.56,75.93,0.858
102,Europe,Luxembourg,19101.0,319.0,671.7139999999999,160.0,0.0,1.857,30513.949,509.60400000000004,1073.067,255.601,0.0,56.48,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,4.51,82.25,0.904
103,Europe,Latvia,6268.0,132.0,215.857,77.0,3.0,2.4290000000000003,3323.08,69.982,114.44,40.823,1.59,45.37,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,5.57,75.29,0.847
104,Africa,Morocco,225070.0,2526.0,3617.857,3826.0,64.0,64.714,6097.713000000001,68.436,98.01700000000001,103.656,1.734,65.74,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,1.1,76.68,0.667
105,Europe,Moldova,76777.0,195.0,709.429,1818.0,18.0,16.857,19032.648999999998,48.34,175.864,450.673,4.462,,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.8,71.9,0.7
106,Africa,Madagascar,17111.0,0.0,20.429000000000002,244.0,0.0,0.0,617.9259999999999,0.0,0.738,8.812000000000001,0.0,52.78,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,0.2,67.04,0.519
107,Asia,Maldives,11737.0,36.0,29.285999999999998,38.0,0.0,0.14300000000000002,21713.391,66.6,54.178000000000004,70.3,0.0,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,,78.92,0.7170000000000001
108,North America,Mexico,933155.0,3763.0,5404.143,92100.0,205.0,418.42900000000003,7237.533,29.186,41.913999999999994,714.326,1.59,71.76,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,1.38,75.05,0.774
109,Oceania,Marshall Islands,1.0,0.0,,,0.0,,16.894000000000002,0.0,,,0.0,,59194.0,295.15,,,,3819.202,,557.793,30.53,2.7,73.7,0.708
110,Europe,Macedonia,32997.0,561.0,828.2860000000001,1025.0,21.0,13.142999999999999,15838.205,269.274,397.56800000000004,491.98900000000003,10.08,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,4.28,75.8,0.757
111,Africa,Mali,3573.0,28.0,10.571,136.0,0.0,0.429,176.437,1.383,0.522,6.716,0.0,34.26,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,0.1,59.31,0.42700000000000005
