    ,date       ,amount
242 ,2020-08-29 ,90
286 ,2020-10-12 ,90
271 ,2020-09-27 ,90
263 ,2020-09-19 ,90
266 ,2020-09-22 ,90
256 ,2020-09-12 ,90
272 ,2020-09-28 ,90
160 ,2020-06-08 ,90
183 ,2020-07-01 ,90
158 ,2020-06-06 ,90
159 ,2020-06-07 ,90
163 ,2020-06-11 ,90
197 ,2020-07-15 ,90
143 ,2020-05-22 ,90
153 ,2020-06-01 ,90
186 ,2020-07-04 ,90
173 ,2020-06-21 ,90
136 ,2020-05-15 ,90
175 ,2020-06-23 ,90
184 ,2020-07-02 ,91
206 ,2020-07-24 ,91
246 ,2020-09-02 ,91
162 ,2020-06-10 ,91
209 ,2020-07-27 ,91
208 ,2020-07-26 ,91
156 ,2020-06-04 ,91
250 ,2020-09-06 ,91
260 ,2020-09-16 ,91
237 ,2020-08-24 ,91
128 ,2020-05-07 ,91
135 ,2020-05-14 ,91
278 ,2020-10-04 ,91
144 ,2020-05-23 ,91
239 ,2020-08-26 ,91
148 ,2020-05-27 ,91
188 ,2020-07-06 ,91
233 ,2020-08-20 ,91
235 ,2020-08-22 ,91
274 ,2020-09-30 ,91
149 ,2020-05-28 ,91
190 ,2020-07-08 ,92
176 ,2020-06-24 ,92
182 ,2020-06-30 ,92
185 ,2020-07-03 ,92
179 ,2020-06-27 ,92
203 ,2020-07-21 ,92
204 ,2020-07-22 ,92
172 ,2020-06-20 ,92
192 ,2020-07-10 ,92
161 ,2020-06-09 ,92
240 ,2020-08-27 ,92
140 ,2020-05-19 ,92
141 ,2020-05-20 ,92
146 ,2020-05-25 ,92
150 ,2020-05-29 ,92
217 ,2020-08-04 ,92
154 ,2020-06-02 ,92
211 ,2020-07-29 ,92
210 ,2020-07-28 ,92
207 ,2020-07-25 ,92
167 ,2020-06-15 ,92
214 ,2020-08-01 ,92
177 ,2020-06-25 ,93
165 ,2020-06-13 ,93
170 ,2020-06-18 ,93
181 ,2020-06-29 ,93
152 ,2020-05-31 ,93
174 ,2020-06-22 ,93
166 ,2020-06-14 ,93
138 ,2020-05-17 ,93
168 ,2020-06-16 ,93
220 ,2020-08-07 ,93
273 ,2020-09-29 ,93
232 ,2020-08-19 ,93
230 ,2020-08-17 ,93
245 ,2020-09-01 ,93
247 ,2020-09-03 ,93
228 ,2020-08-15 ,93
253 ,2020-09-09 ,93
227 ,2020-08-14 ,93
258 ,2020-09-14 ,93
259 ,2020-09-15 ,93
265 ,2020-09-21 ,93
202 ,2020-07-20 ,93
198 ,2020-07-16 ,93
222 ,2020-08-09 ,93
191 ,2020-07-09 ,93
238 ,2020-08-25 ,93
226 ,2020-08-13 ,94
224 ,2020-08-11 ,94
223 ,2020-08-10 ,94
131 ,2020-05-10 ,94
195 ,2020-07-13 ,94
257 ,2020-09-13 ,94
236 ,2020-08-23 ,95
243 ,2020-08-30 ,95
231 ,2020-08-18 ,95
244 ,2020-08-31 ,95
229 ,2020-08-16 ,95
212 ,2020-07-30 ,95
205 ,2020-07-23 ,95
225 ,2020-08-12 ,95
201 ,2020-07-19 ,95
219 ,2020-08-06 ,95
194 ,2020-07-12 ,95
180 ,2020-06-28 ,95
221 ,2020-08-08 ,95
216 ,2020-08-03 ,95
215 ,2020-08-02 ,97
