"Murder","Rape","Robbery","Assault","Burglary","Larceny","Auto.Theft"
1,0.8,0.34,0.81,0.28,0.06,0.11
0.8,1,0.55,0.85,0.3,0.15,0.1
0.34,0.55,1,0.56,0.62,0.44,0.62
0.81,0.85,0.56,1,0.52,0.32,0.33
0.28,0.3,0.62,0.52,1,0.8,0.7
0.06,0.15,0.44,0.32,0.8,1,0.55
0.11,0.1,0.62,0.33,0.7,0.55,1
