"","location","continent","development","total_cases_per_million","new_cases_per_million","total_deaths_per_million","stringency_index","population","population_density","median_age","aged_65_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","hospital_beds_per_thousand","life_expectancy","human_development_index"
"114","Myanmar","Asia","medium",1003.624,22.092,23.562,79.63,54409794,81.721,29.1,5.732,5591.597,6.4,202.104,4.61,0.9,67.13,0.578
"115","Montenegro","Europe","very high",30586.152,789.731,509.504,68.52,628062,46.28,39.1,14.762,16409.288,1,387.305,10.08,3.861,76.88,0.814
"116","Mongolia","Asia","high",106.763,0.305,16.857,57.41,3278292,1.98,28.6,4.031,11840.846,0.5,460.043,4.82,7,69.87,0.741
"117","Mozambique","Africa","low",420.087,4.543,3.007,56.48,31255435,37.728,17.7,3.158,1136.103,62.9,329.942,3.3,0.7,60.85,0.437
"118","Mauritania","Africa","low",1661.412,1.721,35.056,13.89,4649660,4.289,20.3,3.138,3597.633,6,232.347,2.42,0.8,64.92,0.52
"119","Mauritius","Africa","high",354.625,3.932,7.863,52.78,1271767,622.962,37.4,10.945,20292.745,0.5,224.644,22.02,3.4,74.99,0.79
"120","Malawi","Africa","low",310.142,0.052,9.618,50.93,19129955,197.519,18.1,2.979,1095.042,71.4,227.349,3.94,1.3,64.26,0.477
"121","Malaysia","Asia","very high",1030.062,25.768,7.755,75.46,32365998,96.254,29.9,6.293,26808.164,0.1,260.942,16.74,1.9,76.16,0.802
"122","Namibia","Africa","medium",5120.988,9.445,52.343,34.26,2540916,3.078,22,3.552,9541.808,13.4,243.811,3.94,0.9,63.71,0.647
"123","Niger","Africa","low",50.482,0.041,2.85,24.07,24206636,16.955,15.1,2.553,926,44.5,238.339,2.42,0.3,62.42,0.354
"124","Nigeria","Africa","low",305.793,0.349,5.564,50.93,206139587,209.588,18.1,2.751,5338.454,37,181.013,2.42,0.7,54.69,0.532
"125","Nicaragua","North America","medium",832.358,0,23.549,8.33,6624554,51.667,27.3,5.445,5321.444,3.2,137.016,11.47,0.9,74.48,0.658
"126","Netherlands","Europe","very high",21460.036,483.108,434.961,62.04,17134873,508.544,43.2,18.779,48472.545,0.2,109.361,5.29,3.32,82.28,0.931
"127","Norway","Europe","very high",3806.139,197.556,52.018,39.81,5421242,14.462,39.7,16.821,64800.057,0.2,114.316,5.31,3.6,82.4,0.953
"128","Nepal","Asia","medium",6057.63,100.663,33.772,62.04,29136808,204.43,25,5.809,2442.804,15,260.797,7.26,0.3,70.78,0.574
"129","New Zealand","Oceania","very high",334.285,1.037,5.184,22.22,4822233,18.206,37.9,15.322,36085.843,0.5,128.797,8.08,2.61,82.29,0.917
"130","Oman","Asia","very high",22745.369,81.855,245.955,79.63,5106622,14.98,30.7,2.355,37960.709,1.2,266.342,12.61,1.6,77.86,0.821
"131","Pakistan","Asia","medium",1522.28,5.283,31.006,53.24,220892331,255.573,23.5,4.495,5034.708,4,423.031,8.35,0.6,67.27,0.562
"132","Panama","North America","high",31268.193,134.19,630.393,58.33,4314768,55.133,29.7,7.918,22267.037,2.2,128.346,8.33,2.3,78.51,0.789
"133","Peru","South America","high",27494.518,49.557,1048.925,51.85,32971846,25.129,29.1,7.151,12236.706,3.5,85.755,5.95,1.6,76.74,0.75
"134","Philippines","Asia","medium",3517.03,20.87,66.334,54.63,109581085,351.873,25.2,4.803,7599.188,3.2,370.437,7.07,1,71.23,0.699
"135","Papua New Guinea","Oceania","low",65.944,0,0.782,41.67,8947027,18.22,22.6,3.808,3823.194,12,561.494,17.65,1.7,64.5,0.544
