,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
4207,BHR      ,Asia          ,Bahrain                          ,84523.0     ,174.0     ,179.857            ,333.0        ,1.0        ,0.571               ,49673.157               ,102.258               ,105.7                          ,195.7                    ,0.588                  ,0.336                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1701583.0,1935.907           ,32.4       ,2.372         ,1.387         ,43290.705      ,                ,151.689               ,16.52               ,5.8            ,37.6         ,                       ,2.0                        ,77.29,0.846
4465,BGD      ,Asia          ,Bangladesh                       ,430496.0    ,1531.0    ,1676.0             ,6173.0       ,14.0       ,17.714              ,2613.988                ,9.296                 ,10.177                         ,37.483                   ,0.085                  ,0.108                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,164689383.0,1265.036           ,27.5       ,5.098         ,3.262         ,3523.984       ,14.8            ,298.003               ,8.38                ,1.0            ,44.7         ,34.808                 ,0.8                        ,72.59,0.608
4708,BRB      ,North America ,Barbados                         ,249.0       ,0.0       ,1.0                ,7.0          ,0.0        ,0.0                 ,866.476                 ,0.0                   ,3.48                           ,24.359                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,287371.0,664.463            ,39.8       ,14.952        ,9.473         ,16978.068      ,                ,170.05                ,13.57               ,1.9            ,14.5         ,88.469                 ,5.8                        ,79.19,0.8
5029,BLR      ,Europe        ,Belarus                          ,112870.0    ,1248.0    ,1083.857           ,1039.0       ,6.0        ,5.0                 ,11944.774               ,132.073               ,114.702                        ,109.955                  ,0.635                  ,0.529                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,9449321.0,46.858             ,40.3       ,14.799        ,9.788         ,17167.967      ,                ,443.129               ,5.18                ,10.5           ,46.1         ,                       ,11.0                       ,74.79,0.8079999999999999
5585,BLZ      ,North America ,Belize                           ,4783.0      ,68.0      ,101.0              ,88.0         ,3.0        ,2.857               ,12029.043               ,171.017               ,254.011                        ,221.316                  ,7.545                  ,7.186                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,397621.0,16.426             ,25.0       ,3.853         ,2.279         ,7824.362       ,                ,176.957               ,17.11               ,               ,             ,90.083                 ,1.3                        ,74.62,0.708
5829,BEN      ,Africa        ,Benin                            ,2844.0      ,0.0       ,14.143             ,43.0         ,0.0        ,0.0                 ,234.592                 ,0.0                   ,1.167                          ,3.547                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,40.74            ,12123198.0,99.11              ,18.8       ,3.244         ,1.942         ,2064.236       ,49.6            ,235.848               ,0.99                ,0.6            ,12.3         ,11.035                 ,0.5                        ,61.77,0.515
6070,BMU      ,North America ,Bermuda                          ,222.0       ,0.0       ,1.857              ,9.0          ,0.0        ,0.0                 ,3564.948                ,0.0                   ,29.823                         ,144.525                  ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,62273.0,1308.82            ,           ,              ,              ,50669.315      ,                ,139.547               ,13.0                ,               ,             ,                       ,                           ,82.59,
6320,BTN      ,Asia          ,Bhutan                           ,375.0       ,6.0       ,2.286              ,             ,0.0        ,0.0                 ,485.996                 ,7.776                 ,2.962                          ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,771612.0,21.188             ,28.6       ,4.885         ,2.977         ,8708.597       ,1.5             ,217.066               ,9.75                ,               ,             ,79.807                 ,1.7                        ,71.78,0.612
6569,BOL      ,South America ,Bolivia                          ,143181.0    ,112.0     ,107.714            ,8841.0       ,6.0        ,7.286               ,12265.968               ,9.595                 ,9.228                          ,757.387                  ,0.514                  ,0.624                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,11673029.0,10.202             ,25.4       ,6.704         ,4.393         ,6885.829       ,7.1             ,204.299               ,6.89                ,               ,             ,25.383                 ,1.1                        ,71.51,0.693
6797,BES      ,North America ,Bonaire Sint Eustatius and Saba  ,155.0       ,0.0       ,0.143              ,3.0          ,0.0        ,0.0                 ,5911.292                ,0.0                   ,5.448                          ,114.412                  ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,26221.0,                   ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,77.79,
7047,BIH      ,Europe        ,Bosnia and Herzegovina           ,70900.0     ,1275.0    ,1384.0             ,1857.0       ,49.0       ,52.429              ,21610.484               ,388.623               ,421.846                        ,566.018                  ,14.935                 ,15.98                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,3280815.0,68.496             ,42.5       ,16.569        ,10.711        ,11713.895      ,0.2             ,329.635               ,10.08               ,30.2           ,47.7         ,97.164                 ,3.5                        ,77.4,0.768
7276,BWA      ,Africa        ,Botswana                         ,8225.0      ,0.0       ,55.714             ,27.0         ,0.0        ,0.0                 ,3497.581                ,0.0                   ,23.692                         ,11.481                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2351625.0,4.044              ,25.8       ,3.941         ,2.242         ,15807.374      ,                ,237.372               ,4.81                ,5.7            ,34.4         ,                       ,1.8                        ,69.59,0.7170000000000001
7597,BRA      ,South America ,Brazil                           ,5848959.0   ,38307.0   ,27914.0            ,165658.0     ,921.0      ,484.143             ,27516.82                ,180.218               ,131.323                        ,779.349                  ,4.333                  ,2.278                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,212559409.0,25.04              ,33.5       ,8.552         ,5.06          ,14103.452      ,3.4             ,177.961               ,8.11                ,10.1           ,17.9         ,                       ,2.2                        ,75.88,0.759
7831,VGB      ,North America ,British Virgin Islands           ,72.0        ,0.0       ,0.0                ,1.0          ,0.0        ,0.0                 ,2381.189                ,0.0                   ,0.0                            ,33.072                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,30237.0,207.973            ,           ,              ,              ,               ,                ,                      ,13.67               ,               ,             ,                       ,                           ,79.07,
8081,BRN      ,Asia          ,Brunei                           ,148.0       ,0.0       ,0.0                ,3.0          ,0.0        ,0.0                 ,338.299                 ,0.0                   ,0.0                            ,6.857                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,437483.0,81.347             ,32.4       ,4.591         ,2.382         ,71809.251      ,                ,201.285               ,12.79               ,2.0            ,30.9         ,                       ,2.7                        ,75.86,0.853
8332,BGR      ,Europe        ,Bulgaria                         ,97435.0     ,2498.0    ,3278.571           ,2091.0       ,36.0       ,65.571              ,14022.562               ,359.505               ,471.842                        ,300.931                  ,5.181                  ,9.437                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,6948445.0,65.18              ,44.7       ,20.801        ,13.272        ,18563.307      ,1.5             ,424.688               ,5.81                ,30.1           ,44.4         ,                       ,7.454                      ,75.05,0.813
8580,BFA      ,Africa        ,Burkina Faso                     ,2635.0      ,26.0      ,10.0               ,68.0         ,0.0        ,0.143               ,126.057                 ,1.244                 ,0.478                          ,3.253                    ,0.0                    ,0.007                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,20903278.0,70.151             ,17.6       ,2.409         ,1.358         ,1703.102       ,43.7            ,269.048               ,2.42                ,1.6            ,23.9         ,11.877                 ,0.4                        ,61.58,0.423
8809,BDI      ,Africa        ,Burundi                          ,627.0       ,3.0       ,2.143              ,1.0          ,0.0        ,0.0                 ,52.73                   ,0.252                 ,0.18                           ,0.084                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,11890781.0,423.062            ,17.5       ,2.562         ,1.504         ,702.225        ,71.7            ,293.068               ,6.05                ,               ,             ,6.144                  ,0.8                        ,61.58,0.41700000000000004
9130,KHM      ,Asia          ,Cambodia                         ,302.0       ,0.0       ,1.0                ,             ,0.0        ,0.0                 ,18.063                  ,0.0                   ,0.06                           ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,16718971.0,90.672             ,25.6       ,4.412         ,2.385         ,3645.07        ,                ,270.892               ,4.0                 ,2.0            ,33.7         ,66.229                 ,0.8                        ,69.82,0.5820000000000001
9380,CMR      ,Africa        ,Cameroon                         ,22421.0     ,0.0       ,11.286             ,433.0        ,0.0        ,0.571               ,844.614                 ,0.0                   ,0.425                          ,16.311                   ,0.0                    ,0.022                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,26545864.0,50.885             ,18.8       ,3.165         ,1.919         ,3364.926       ,23.8            ,244.661               ,7.2                 ,               ,             ,2.735                  ,1.3                        ,59.29,0.556
9701,CAN      ,North America ,Canada                           ,291931.0    ,4613.0    ,4553.714           ,10891.0      ,63.0       ,57.286              ,7734.879                ,122.224               ,120.653                        ,288.563                  ,1.669                  ,1.518                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,37742157.0,4.037              ,41.4       ,16.984        ,10.797        ,44017.591      ,0.5             ,105.599               ,7.37                ,12.0           ,16.6         ,                       ,2.5                        ,82.43,0.9259999999999999
9941,CPV      ,Africa        ,Cape Verde                       ,9780.0      ,39.0      ,69.857             ,102.0        ,0.0        ,0.286               ,17590.308               ,70.145                ,125.645                        ,183.457                  ,0.0                    ,0.514                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,555988.0,135.58             ,25.7       ,4.46          ,3.437         ,6222.554       ,                ,182.219               ,2.42                ,2.1            ,16.5         ,                       ,2.1                        ,72.98,0.654
10182,CYM      ,North America ,Cayman Islands                   ,254.0       ,0.0       ,0.571              ,1.0          ,0.0        ,0.0                 ,3864.881                ,0.0                   ,8.695                          ,15.216                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,65720.0,256.496            ,           ,              ,              ,49903.029      ,                ,                      ,13.22               ,               ,             ,                       ,                           ,83.92,
10427,CAF      ,Africa        ,Central African Republic         ,4896.0      ,8.0       ,2.429              ,63.0         ,1.0        ,0.143               ,1013.714                ,1.656                 ,0.503                          ,13.044                   ,0.207                  ,0.03                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,4829764.0,7.479              ,18.3       ,3.655         ,2.251         ,661.24         ,                ,435.727               ,6.1                 ,               ,             ,16.603                 ,1.0                        ,53.28,0.36700000000000005
10668,TCD      ,Africa        ,Chad                             ,1591.0      ,2.0       ,6.857              ,100.0        ,0.0        ,0.143               ,96.859                  ,0.122                 ,0.417                          ,6.088                    ,0.0                    ,0.009                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,16425859.0,11.833             ,16.7       ,2.486         ,1.446         ,1768.153       ,38.4            ,280.995               ,6.1                 ,               ,             ,5.818                  ,                           ,54.24,0.40399999999999997
10924,CHL      ,South America ,Chile                            ,529676.0    ,1646.0    ,1385.571           ,14777.0      ,39.0       ,39.714              ,27708.213               ,86.105                ,72.481                         ,773.009                  ,2.04                   ,2.078                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,19116209.0,24.282             ,35.4       ,11.087        ,6.938         ,22767.037      ,1.3             ,127.993               ,8.46                ,34.2           ,41.5         ,                       ,2.11                       ,80.18,0.843
11245,CHN      ,Asia          ,China                            ,91629.0     ,11.0      ,14.429             ,4739.0       ,0.0        ,0.0                 ,63.661                  ,0.008                 ,0.01                           ,3.293                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1439323774.0,147.674            ,38.7       ,10.641        ,5.929         ,15308.712      ,0.7             ,261.899               ,9.74                ,1.9            ,48.4         ,                       ,4.34                       ,76.91,0.752
11499,COL      ,South America ,Colombia                         ,1191004.0   ,8307.0    ,7793.857           ,33829.0      ,160.0      ,176.286             ,23406.771               ,163.257               ,153.172                        ,664.84                   ,3.144                  ,3.465                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,50882884.0,44.223             ,32.2       ,7.646         ,4.312         ,13254.949      ,4.5             ,124.24                ,7.44                ,4.7            ,13.5         ,65.386                 ,1.71                       ,77.29,0.747
11697,COM      ,Africa        ,Comoros                          ,579.0       ,5.0       ,2.286              ,7.0          ,0.0        ,0.0                 ,665.827                 ,5.75                  ,2.628                          ,8.05                     ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,869595.0,437.352            ,20.4       ,2.963         ,1.726         ,1413.89        ,18.1            ,261.516               ,11.88               ,4.4            ,23.6         ,15.574                 ,2.2                        ,64.32,0.503
11942,COG      ,Africa        ,Congo                            ,5379.0      ,0.0       ,0.0                ,92.0         ,0.0        ,0.0                 ,974.793                 ,0.0                   ,0.0                            ,16.672                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5518092.0,15.405             ,19.0       ,3.402         ,2.063         ,4881.406       ,37.0            ,344.094               ,7.2                 ,1.7            ,52.3         ,47.964                 ,                           ,64.57,0.606
12195,CRI      ,North America ,Costa Rica                       ,123223.0    ,1100.0    ,980.0              ,1546.0       ,9.0        ,11.714              ,24189.29                ,215.935               ,192.379                        ,303.488                  ,1.767                  ,2.3                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5094114.0,96.079             ,33.6       ,9.468         ,5.694         ,15524.995      ,1.3             ,137.973               ,8.78                ,6.4            ,17.4         ,83.841                 ,1.13                       ,80.28,0.794
