,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
13501,CYP      ,Europe        ,Cyprus                           ,7051.0      ,198.0     ,168.571            ,39.0         ,1.0        ,1.714               ,8050.015                ,226.053               ,192.455                        ,44.526                   ,1.142                  ,1.957                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,875899.0,127.657            ,37.3       ,13.416        ,8.563         ,32415.132      ,                ,141.171               ,9.24                ,19.6           ,52.7         ,                       ,3.4                        ,80.98,0.8690000000000001
13822,CZE      ,Europe        ,Czech Republic                   ,458229.0    ,4199.0    ,6715.571           ,6058.0       ,132.0      ,196.714             ,42789.221               ,392.101               ,627.097                        ,565.693                  ,12.326                 ,18.369                          ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,10708982.0,137.176            ,43.3       ,19.027        ,11.58         ,32605.906      ,                ,227.485               ,6.82                ,30.5           ,38.3         ,                       ,6.63                       ,79.38,0.888
14070,COD      ,Africa        ,Democratic Republic of Congo     ,11759.0     ,68.0      ,24.143             ,318.0        ,1.0        ,0.429               ,131.295                 ,0.759                 ,0.27                           ,3.551                    ,0.011                  ,0.005                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,89561404.0,35.879             ,17.0       ,3.02          ,1.745         ,808.133        ,77.1            ,318.949               ,6.1                 ,               ,             ,4.472                  ,                           ,60.68,0.457
14391,DNK      ,Europe        ,Denmark                          ,61078.0     ,1078.0    ,978.286            ,757.0        ,1.0        ,2.429               ,10544.865               ,186.112               ,168.897                        ,130.693                  ,0.173                  ,0.419                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5792203.0,136.52             ,42.3       ,19.677        ,12.325        ,46682.515      ,0.2             ,114.767               ,6.41                ,19.3           ,18.8         ,                       ,2.5                        ,80.9,0.929
14633,DJI      ,Africa        ,Djibouti                         ,5645.0      ,1.0       ,5.714              ,61.0         ,0.0        ,0.0                 ,5713.551                ,1.012                 ,5.784                          ,61.741                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,32.41            ,988002.0,41.285             ,25.4       ,4.213         ,2.38          ,2705.406       ,22.5            ,258.037               ,6.05                ,1.7            ,24.5         ,                       ,1.4                        ,67.11,0.47600000000000003
14871,DMA      ,North America ,Dominica                         ,68.0        ,0.0       ,3.714              ,             ,0.0        ,0.0                 ,944.563                 ,0.0                   ,51.594                         ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,71991.0,98.567             ,           ,              ,              ,9673.367       ,                ,227.376               ,11.62               ,               ,             ,                       ,3.8                        ,75.0,0.715
15192,DOM      ,North America ,Dominican Republic               ,133225.0    ,671.0     ,511.429            ,2282.0       ,2.0        ,2.714               ,12281.174               ,61.855                ,47.145                         ,210.363                  ,0.184                  ,0.25                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,10847904.0,222.873            ,27.6       ,6.981         ,4.419         ,14600.861      ,1.6             ,266.653               ,8.2                 ,8.5            ,19.1         ,55.182                 ,1.6                        ,74.08,0.736
15513,ECU      ,South America ,Ecuador                          ,179627.0    ,953.0     ,877.286            ,12997.0      ,20.0       ,26.0                ,10181.17                ,54.016                ,49.724                         ,736.664                  ,1.134                  ,1.474                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,17643060.0,66.939             ,28.1       ,7.104         ,4.458         ,10581.936      ,3.6             ,140.448               ,5.55                ,2.0            ,12.3         ,80.635                 ,1.5                        ,77.01,0.752
15834,EGY      ,Africa        ,Egypt                            ,110547.0    ,228.0     ,226.429            ,6442.0       ,13.0       ,12.429              ,1080.253                ,2.228                 ,2.213                          ,62.95                    ,0.127                  ,0.121                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,102334403.0,97.999             ,25.3       ,5.159         ,2.891         ,10550.206      ,1.3             ,525.432               ,17.31               ,0.2            ,50.1         ,89.827                 ,1.6                        ,71.99,0.696
16076,SLV      ,North America ,El Salvador                      ,36358.0     ,163.0     ,173.286            ,1044.0       ,5.0        ,4.857               ,5605.438                ,25.13                 ,26.716                         ,160.957                  ,0.771                  ,0.749                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,6486201.0,307.811            ,27.6       ,8.273         ,5.417         ,7292.458       ,2.2             ,167.295               ,8.87                ,2.5            ,18.8         ,90.65                  ,1.3                        ,73.32,0.674
16322,GNQ      ,Africa        ,Equatorial Guinea                ,5104.0      ,0.0       ,1.714              ,85.0         ,0.0        ,0.0                 ,3637.958                ,0.0                   ,1.222                          ,60.585                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1402985.0,45.194             ,22.4       ,2.846         ,1.752         ,22604.873      ,                ,202.812               ,7.78                ,               ,             ,24.64                  ,2.1                        ,58.74,0.591
16561,ERI      ,Africa        ,Eritrea                          ,493.0       ,0.0       ,0.286              ,             ,0.0        ,0.0                 ,139.013                 ,0.0                   ,0.081                          ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,3546427.0,44.304             ,19.3       ,3.607         ,2.171         ,1510.459       ,                ,311.11                ,6.05                ,0.2            ,11.4         ,                       ,0.7                        ,66.32           ,0.44
16882,EST      ,Europe        ,Estonia                          ,7148.0      ,0.0       ,173.571            ,80.0         ,0.0        ,1.0                 ,5388.458                ,0.0                   ,130.845                        ,60.307                   ,0.0                    ,0.754                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1326539.0,31.033             ,42.7       ,19.452        ,13.491        ,29481.252      ,0.5             ,255.569               ,4.02                ,24.5           ,39.3         ,                       ,4.69                       ,78.74           ,0.871
17130,ETH      ,Africa        ,Ethiopia                         ,102321.0    ,564.0     ,445.714            ,1565.0       ,7.0        ,6.714               ,890.03                  ,4.906                 ,3.877                          ,13.613                   ,0.061                  ,0.058                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,114963583.0,104.957            ,19.8       ,3.526         ,2.063         ,1729.927       ,26.7            ,182.634               ,7.47                ,0.4            ,8.5          ,7.96                   ,0.3                        ,66.6            ,0.46299999999999997
17385,FRO      ,Europe        ,Faeroe Islands                   ,497.0       ,0.0       ,0.286              ,             ,0.0        ,0.0                 ,10170.879               ,0.0                   ,5.847                          ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,48865.0,35.308             ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,80.67           ,
17611,FLK      ,South America ,Falkland Islands                 ,15.0        ,0.0       ,0.286              ,             ,0.0        ,0.0                 ,4306.632                ,0.0                   ,82.031                         ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,3483.0,                   ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,81.44           ,
17902,FJI      ,Oceania       ,Fiji                             ,35.0        ,0.0       ,0.143              ,2.0          ,0.0        ,0.0                 ,39.043                  ,0.0                   ,0.159                          ,2.231                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,896444.0,49.562             ,28.6       ,6.224         ,3.284         ,8702.975       ,1.4             ,412.82                ,14.49               ,10.2           ,34.8         ,                       ,2.3                        ,67.44           ,0.741
18223,FIN      ,Europe        ,Finland                          ,19102.0     ,244.0     ,245.286            ,369.0        ,0.0        ,1.0                 ,3447.568                ,44.038                ,44.27                          ,66.598                   ,0.0                    ,0.18                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5540718.0,18.136             ,42.8       ,21.228        ,13.264        ,40585.721      ,                ,153.507               ,5.76                ,18.3           ,22.6         ,                       ,3.28                       ,81.91           ,0.92
18544,FRA      ,Europe        ,France                           ,1954599.0   ,32095.0   ,29413.429          ,44246.0      ,354.0      ,582.429             ,29944.75                ,491.7                 ,450.618                        ,677.855                  ,5.423                  ,8.923                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,65273512.0,122.578            ,42.0       ,19.718        ,13.079        ,38605.671      ,                ,86.06                 ,4.77                ,30.1           ,35.6         ,                       ,5.98                       ,82.66           ,0.9009999999999999
18786,PYF      ,Oceania       ,French Polynesia                 ,11706.0     ,221.0     ,244.429            ,53.0         ,1.0        ,2.0                 ,41672.6                 ,786.746               ,870.15                         ,188.677                  ,3.56                   ,7.12                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,280904.0,77.324             ,32.7       ,7.775         ,4.593         ,               ,                ,                      ,22.63               ,               ,             ,                       ,                           ,77.66           ,
19033,GAB      ,Africa        ,Gabon                            ,9062.0      ,0.0       ,5.714              ,58.0         ,0.0        ,0.429               ,4071.477                ,0.0                   ,2.567                          ,26.059                   ,0.0                    ,0.193                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2225728.0,7.859              ,23.1       ,4.45          ,2.976         ,16562.413      ,3.4             ,259.967               ,7.2                 ,               ,             ,                       ,6.3                        ,66.47           ,0.7020000000000001
19276,GMB      ,Africa        ,Gambia                           ,3698.0      ,0.0       ,2.0                ,122.0        ,0.0        ,0.143               ,1530.209                ,0.0                   ,0.828                          ,50.483                   ,0.0                    ,0.059                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2416664.0,207.566            ,17.5       ,2.339         ,1.417         ,1561.767       ,10.1            ,331.43                ,1.91                ,0.7            ,31.2         ,7.876                  ,1.1                        ,62.05           ,0.46
19597,GEO      ,Asia          ,Georgia                          ,79678.0     ,3020.0    ,3132.143           ,703.0        ,34.0       ,32.571              ,19973.553               ,757.049               ,785.161                        ,176.227                  ,8.523                  ,8.165                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,3989175.0,65.032             ,38.7       ,14.864        ,10.244        ,9745.079       ,4.2             ,496.218               ,7.11                ,5.3            ,55.5         ,                       ,2.6                        ,73.77           ,0.78
19918,DEU      ,Europe        ,Germany                          ,790503.0    ,16947.0   ,18856.857          ,12485.0      ,107.0      ,170.857             ,9435.018                ,202.27                ,225.065                        ,149.014                  ,1.277                  ,2.039                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,83783945.0,237.016            ,46.6       ,21.453        ,15.957        ,45229.245      ,                ,156.139               ,8.31                ,28.2           ,33.1         ,                       ,8.0                        ,81.33           ,0.9359999999999999
20165,GHA      ,Africa        ,Ghana                            ,50018.0     ,0.0       ,159.143            ,320.0        ,0.0        ,0.0                 ,1609.696                ,0.0                   ,5.122                          ,10.298                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,31072945.0,126.719            ,21.1       ,3.385         ,1.948         ,4227.63        ,12.0            ,298.245               ,4.97                ,0.3            ,7.7          ,41.047                 ,0.9                        ,64.07           ,0.5920000000000001
20406,GIB      ,Europe        ,Gibraltar                        ,887.0       ,11.0      ,14.571             ,1.0          ,0.0        ,0.143               ,26327.506               ,326.497               ,432.502                        ,29.682                   ,0.0                    ,4.24                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,33691.0,3457.1             ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,79.93           ,
20727,GRC      ,Europe        ,Greece                           ,72510.0     ,2835.0    ,2528.714           ,1035.0       ,38.0       ,40.857              ,6956.693                ,271.993               ,242.608                        ,99.299                   ,3.646                  ,3.92                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,10423056.0,83.479             ,45.3       ,20.396        ,14.524        ,24574.382      ,1.5             ,175.695               ,4.55                ,35.3           ,52.0         ,                       ,4.21                       ,82.24           ,0.87
20968,GRL      ,North America ,Greenland                        ,17.0        ,0.0       ,0.0                ,             ,0.0        ,0.0                 ,299.443                 ,0.0                   ,0.0                            ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,56772.0,0.137              ,           ,              ,              ,               ,                ,199.941               ,2.16                ,               ,             ,                       ,                           ,71.7            ,
21206,GRD      ,North America ,Grenada                          ,32.0        ,0.0       ,0.286              ,             ,0.0        ,0.0                 ,284.396                 ,0.0                   ,2.539                          ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,112519.0,317.132            ,29.4       ,7.304         ,5.021         ,13593.877      ,                ,243.964               ,10.71               ,               ,             ,                       ,3.7                        ,72.4            ,0.772
21448,GUM      ,Oceania       ,Guam                             ,5965.0      ,41.0      ,121.714            ,93.0         ,0.0        ,0.571               ,35341.237               ,242.915               ,721.129                        ,551.003                  ,0.0                    ,3.386                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,168783.0,304.128            ,31.4       ,9.551         ,5.493         ,               ,                ,310.496               ,21.52               ,               ,             ,                       ,                           ,80.07           ,
21721,GTM      ,North America ,Guatemala                        ,114719.0    ,596.0     ,524.143            ,3920.0       ,40.0       ,15.571              ,6403.314                ,33.267                ,29.256                         ,218.804                  ,2.233                  ,0.869                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,17915567.0,157.834            ,22.9       ,4.694         ,3.016         ,7423.808       ,8.7             ,155.898               ,10.18               ,               ,             ,76.665                 ,0.6                        ,74.3            ,0.65
21962,GGY      ,Europe        ,Guernsey                         ,282.0       ,0.0       ,0.429              ,13.0         ,0.0        ,0.0                 ,4205.691                ,0.0                   ,6.392                          ,193.879                  ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,67052.0,                   ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,                ,
22208,GIN      ,Africa        ,Guinea                           ,12585.0     ,48.0      ,26.429             ,74.0         ,0.0        ,0.143               ,958.288                 ,3.655                 ,2.012                          ,5.635                    ,0.0                    ,0.011                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,13132792.0,51.755             ,19.0       ,3.135         ,1.733         ,1998.926       ,35.3            ,336.717               ,2.42                ,               ,             ,17.45                  ,0.3                        ,61.6            ,0.45899999999999996
22442,GNB      ,Africa        ,Guinea-Bissau                    ,2419.0      ,0.0       ,0.857              ,43.0         ,0.0        ,0.286               ,1229.168                ,0.0                   ,0.436                          ,21.85                    ,0.0                    ,0.145                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1967998.0,66.191             ,19.4       ,3.002         ,1.565         ,1548.675       ,67.1            ,382.474               ,2.42                ,               ,             ,6.403                  ,                           ,58.32           ,0.455
22688,GUY      ,South America ,Guyana                           ,4794.0      ,70.0      ,44.286             ,138.0        ,0.0        ,0.571               ,6094.902                ,88.995                ,56.303                         ,175.448                  ,0.0                    ,0.726                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,786559.0,3.952              ,26.3       ,5.305         ,2.837         ,7435.047       ,                ,373.159               ,11.62               ,               ,             ,77.159                 ,1.6                        ,69.91           ,0.654
22929,HTI      ,North America ,Haiti                            ,9168.0      ,0.0       ,5.857              ,232.0        ,0.0        ,0.0                 ,804.032                 ,0.0                   ,0.514                          ,20.346                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,11402533.0,398.448            ,24.3       ,4.8           ,2.954         ,1653.173       ,23.5            ,430.548               ,6.65                ,2.9            ,23.1         ,22.863                 ,0.7                        ,64.0            ,0.498
23176,HND      ,North America ,Honduras                         ,102555.0    ,476.0     ,359.143            ,2822.0       ,2.0        ,11.0                ,10354.271               ,48.058                ,36.26                          ,284.918                  ,0.202                  ,1.111                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,9904608.0,82.805             ,24.9       ,4.652         ,2.883         ,4541.795       ,16.0            ,240.208               ,7.21                ,2.0            ,             ,84.169                 ,0.7                        ,75.27           ,0.617
23505,HUN      ,Europe        ,Hungary                          ,140961.0    ,4238.0    ,4477.857           ,3097.0       ,107.0      ,94.143              ,14591.707               ,438.7                 ,463.529                        ,320.589                  ,11.076                 ,9.745                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,9660350.0,108.043            ,43.4       ,18.577        ,11.976        ,26777.561      ,0.5             ,278.296               ,7.55                ,26.8           ,34.8         ,                       ,7.02                       ,76.88           ,0.838
23826,ISL      ,Europe        ,Iceland                          ,5186.0      ,16.0      ,17.571             ,25.0         ,0.0        ,1.0                 ,15197.07                ,46.886                ,51.491                         ,73.26                    ,0.0                    ,2.93                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,341250.0,3.404              ,37.3       ,14.431        ,9.207         ,46482.958      ,0.2             ,117.992               ,5.31                ,14.3           ,15.2         ,                       ,2.91                       ,82.99           ,0.935
24147,IND      ,Asia          ,India                            ,8814579.0   ,41100.0   ,43832.143          ,129635.0     ,447.0      ,502.0               ,6387.356                ,29.783                ,31.762                         ,93.938                   ,0.324                  ,0.364                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1380004385.0,450.419            ,28.2       ,5.989         ,3.414         ,6426.674       ,21.2            ,282.28                ,10.39               ,1.9            ,20.6         ,59.55                  ,0.53                       ,69.66           ,0.64
24468,IDN      ,Asia          ,Indonesia                        ,463007.0    ,5272.0    ,4167.286           ,15148.0      ,111.0      ,86.857              ,1692.75                 ,19.274                ,15.236                         ,55.381                   ,0.406                  ,0.318                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,273523621.0,145.725            ,29.3       ,5.319         ,3.053         ,11188.744      ,5.7             ,342.864               ,6.32                ,2.8            ,76.1         ,64.204                 ,1.04                       ,71.72           ,0.6940000000000001
24789,IRN      ,Asia          ,Iran                             ,749525.0    ,11203.0   ,10896.429          ,41034.0      ,452.0      ,457.429             ,8923.665                ,133.38                ,129.73                         ,488.541                  ,5.381                  ,5.446                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,83992953.0,49.831             ,32.4       ,5.44          ,3.182         ,19082.62       ,0.2             ,270.308               ,9.59                ,0.8            ,21.1         ,                       ,1.5                        ,76.68           ,0.7979999999999999
25110,IRQ      ,Asia          ,Iraq                             ,516915.0    ,2419.0    ,2985.143           ,11623.0      ,43.0       ,48.571              ,12851.388               ,60.14                 ,74.216                         ,288.968                  ,1.069                  ,1.208                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,40222503.0,88.125             ,20.0       ,3.186         ,1.957         ,15663.986      ,2.5             ,218.612               ,8.83                ,               ,             ,94.576                 ,1.4                        ,70.6            ,0.685
25431,IRL      ,Europe        ,Ireland                          ,67526.0     ,427.0     ,381.571            ,1978.0       ,6.0        ,4.714               ,13675.332               ,86.476                ,77.276                         ,400.584                  ,1.215                  ,0.955                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,81.48            ,4937796.0,69.874             ,38.7       ,13.928        ,8.678         ,67335.293      ,0.2             ,126.459               ,3.28                ,23.0           ,25.7         ,                       ,2.96                       ,82.3            ,0.938
25671,IMN      ,Europe        ,Isle of Man                      ,363.0       ,0.0       ,0.857              ,25.0         ,0.0        ,0.143               ,4268.981                ,0.0                   ,10.08                          ,294.007                  ,0.0                    ,1.68                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,85032.0,147.872            ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,81.4            ,
25992,ISR      ,Asia          ,Israel                           ,323460.0    ,765.0     ,634.0              ,2721.0       ,5.0        ,11.0                ,37370.281               ,88.383                ,73.248                         ,314.365                  ,0.578                  ,1.271                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,8655541.0,402.606            ,30.6       ,11.733        ,7.359         ,33132.32       ,0.5             ,93.32                 ,6.74                ,15.4           ,35.4         ,                       ,2.99                       ,82.97           ,0.903
